"Statistic Label","Year","Sex","NACE Rev 2 Sector","Age Group","UNIT","VALUE"
"Median Annual Earnings","2011","Both sexes","Industry (B to E)","15 years and over","€","36986"
"Median Annual Earnings","2011","Both sexes","Construction (F)","15 years and over","€","33153"
"Median Annual Earnings","2011","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","23046"
"Median Annual Earnings","2011","Both sexes","Transportation and storage (H)","15 years and over","€","36904"
"Median Annual Earnings","2011","Both sexes","Accommodation and food service activities (I)","15 years and over","€","18200"
"Median Annual Earnings","2011","Both sexes","Information and communication (J)","15 years and over","€","46915"
"Median Annual Earnings","2011","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","41322"
"Median Annual Earnings","2011","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","34186"
"Median Annual Earnings","2011","Both sexes","Administrative and support service activities (N)","15 years and over","€","24213"
"Median Annual Earnings","2011","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","44618"
"Median Annual Earnings","2011","Both sexes","Education (P)","15 years and over","€","47577"
"Median Annual Earnings","2011","Both sexes","Human health and social work activities (Q)","15 years and over","€","34304"
"Median Annual Earnings","2011","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","21125"
"Median Annual Earnings","2011","Both sexes","All NACE economic sectors","15 years and over","€","33157"
"Median Annual Earnings","2011","Male","Industry (B to E)","15 years and over","€","39943"
"Median Annual Earnings","2011","Male","Construction (F)","15 years and over","€","35436"
"Median Annual Earnings","2011","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","27609"
"Median Annual Earnings","2011","Male","Transportation and storage (H)","15 years and over","€","39247"
"Median Annual Earnings","2011","Male","Accommodation and food service activities (I)","15 years and over","€","20117"
"Median Annual Earnings","2011","Male","Information and communication (J)","15 years and over","€","51066"
"Median Annual Earnings","2011","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","52651"
"Median Annual Earnings","2011","Male","Professional, scientific and technical activities (M)","15 years and over","€","42840"
"Median Annual Earnings","2011","Male","Administrative and support service activities (N)","15 years and over","€","27005"
"Median Annual Earnings","2011","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","48296"
"Median Annual Earnings","2011","Male","Education (P)","15 years and over","€","55483"
"Median Annual Earnings","2011","Male","Human health and social work activities (Q)","15 years and over","€","39515"
"Median Annual Earnings","2011","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26183"
"Median Annual Earnings","2011","Male","All NACE economic sectors","15 years and over","€","37492"
"Median Annual Earnings","2011","Female","Industry (B to E)","15 years and over","€","31139"
"Median Annual Earnings","2011","Female","Construction (F)","15 years and over","€","22020"
"Median Annual Earnings","2011","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","19011"
"Median Annual Earnings","2011","Female","Transportation and storage (H)","15 years and over","€","28506"
"Median Annual Earnings","2011","Female","Accommodation and food service activities (I)","15 years and over","€","16560"
"Median Annual Earnings","2011","Female","Information and communication (J)","15 years and over","€","39674"
"Median Annual Earnings","2011","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","36148"
"Median Annual Earnings","2011","Female","Professional, scientific and technical activities (M)","15 years and over","€","28953"
"Median Annual Earnings","2011","Female","Administrative and support service activities (N)","15 years and over","€","19325"
"Median Annual Earnings","2011","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","38938"
"Median Annual Earnings","2011","Female","Education (P)","15 years and over","€","45128"
"Median Annual Earnings","2011","Female","Human health and social work activities (Q)","15 years and over","€","33123"
"Median Annual Earnings","2011","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","18200"
"Median Annual Earnings","2011","Female","All NACE economic sectors","15 years and over","€","29189"
"Median Annual Earnings","2012","Both sexes","Industry (B to E)","15 years and over","€","37020"
"Median Annual Earnings","2012","Both sexes","Construction (F)","15 years and over","€","32539"
"Median Annual Earnings","2012","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","23091"
"Median Annual Earnings","2012","Both sexes","Transportation and storage (H)","15 years and over","€","36300"
"Median Annual Earnings","2012","Both sexes","Accommodation and food service activities (I)","15 years and over","€","17911"
