NACE Rev 2 Sector,Mean Annual Earnings,Median Annual Earnings,Max Annual Earnings,Min Annual Earnings,Mean Annual Change,Median Annual Change,Max Annual Change,Min Annual Change
Accommodation and food service activities (I),20495.85,19900.0,27497.0,16095.0,2.58,2.2,21.3,-3.0
Administrative and support service activities (N),27827.18,27418.0,38848.0,19325.0,3.41,3.4,9.0,0.0
All NACE economic sectors,36496.67,36999.0,47187.0,29189.0,2.25,1.45,13.3,-1.7
"Arts, entertainment, recreation and other service activities (R,S)",23708.74,23873.0,32322.0,17734.0,2.27,1.15,31.7,-11.0
Construction (F),33161.51,34264.0,44500.0,21401.0,2.31,2.2,16.7,-3.8
Education (P),49693.82,47754.0,61163.0,43562.0,0.87,0.65,5.9,-3.0
"Financial, insurance and real estate activities (K,L)",47992.69,47001.0,68563.0,36148.0,2.47,2.8,5.8,-1.9
Human health and social work activities (Q),36750.08,36653.0,45131.0,32900.0,1.67,1.2,6.6,-3.2
Industry (B to E),40004.44,40199.0,49814.0,31139.0,2.26,1.9,10.0,-0.6
Information and communication (J),55780.74,54714.0,81891.0,39674.0,4.16,3.55,10.5,0.9
"Professional, scientific and technical activities (M)",40240.41,40000.0,57800.0,28746.0,2.97,2.8,6.4,-2.1
Public administration and defence; compulsory social security (O),46935.62,47232.0,57937.0,38938.0,1.86,1.85,6.1,-2.2
Transportation and storage (H),36483.74,37000.0,43159.0,28506.0,1.34,1.1,10.8,-5.0
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26465.87,26328.0,37058.0,18993.0,2.67,2.5,10.4,-0.5
